,Dataset,Method,Sparsity,Sparsity_STD,Proximity,Proximity_STD
0,GunPoint,Wachter,1.0,0.0,0.07494143649248394,0.05378506253934058
1,GunPoint,our,0.3743333333333333,0.3794222215714601,0.25424326040006323,0.29734425855297975
2,GunPoint,ib,1.0,0.0,80182337.53675295,265934728.00698522
3,GunPoint,cfg,0.19166666666666665,0.1557330336755108,0.018822689697996605,0.01573758370376934
4,Coffee,Wachter,1.0,0.0,0.10836807625761886,0.034229794599717034
5,Coffee,our,0.14930069930069928,0.09684809761900924,0.033196528876998345,0.016171031668850682
6,Coffee,ib,0.9655344655344654,0.12426725175175586,0.0582039214220526,0.045592014575041036
7,Coffee,cfg,0.02872127872127872,0.005148733298723353,0.006277709069721808,0.0016925408392327846
8,CBF,Wachter,1.0,0.0,0.2763527541173917,0.08896407312884433
9,CBF,our,0.359765625,0.15170086709103503,0.2890617462730616,0.1441163271233654
10,CBF,ib,1.0,0.0,0.48201628930961543,0.06502507580134764
11,CBF,cfg,0.078125,0.0,0.06280582209048391,0.0
12,ElectricDevices,Wachter,1.0,0.0,0.013513928824418448,0.0043916923610194895
13,ElectricDevices,our,0.4015625,0.23839094128220703,0.20010709699046134,0.13796348339251005
14,ElectricDevices,ib,,,,
15,ElectricDevices,cfg,,,,
16,ECG5000,Wachter,1.0,0.0,12.43437915033342,9.530078716088047
17,ECG5000,our,0.45285714285714285,0.1885957776487554,0.32744917922089334,0.1108387051341423
18,ECG5000,ib,0.9920634920634921,0.03272306052077509,49079880931.67394,107197192138.73666
19,ECG5000,cfg,0.4702380952380952,0.3207510496127244,0.21086838403418437,0.12271669949585298
20,FordA,Wachter,1.0,0.0,0.14541419913578243,0.12680782130154586
21,FordA,our,0.30810000000000004,0.28726397268018145,0.13923596126323087,0.12257301530510947
22,FordA,ib,1.0,0.0,1.4525240289671921,0.4340558841404899
23,FordA,cfg,0.5586666666666668,0.295543942963178,0.48319749432866327,0.27699524609123105
24,CharacterTrajectories,Wachter,1.0,0.0,0.20362655302806676,0.06959383738667889
25,CharacterTrajectories,our,0.26419413919413925,0.1340927971545653,0.19143995146113926,0.09618638188512363
26,CharacterTrajectories,Ates,0.6239010989010988,0.07109737011295772,0.4132637867216117,0.04949920231673184
27,Heartbeat,Wachter,1.0,0.0,0.01843178875003921,0.0194058037619485
28,Heartbeat,our,0.1137846589759158,0.21311387322745115,0.009750323633565148,0.029694179836242545
29,Heartbeat,Ates,0.06229103420360251,0.048241461529515896,0.010295525288403157,0.01215339474747552
30,UWaveGestureLibrary,Wachter,1.0,0.0,0.2928280662962586,0.18811112637659277
31,UWaveGestureLibrary,our,0.8549206349206351,0.24425653007551895,0.5694997745486458,0.23530132408261356
32,UWaveGestureLibrary,Ates,0.9333333333333333,0.13333333333333333,0.9718535920105822,0.14589825856948876
33,NATOPS,Wachter,1.0,0.0,7.789084552847936,17.680067222753376
34,NATOPS,our,0.5722630718954248,0.32898668981134704,0.1749946908063153,0.09704991002880493
35,NATOPS,Ates,0.3729166666666667,0.3082981398833855,0.24283670575980393,0.19224248650714668
