,ynn,red,sparsity,closest
0,0.9994444444444445,200,244,720
1,0.9994444444444445,85,138,720
2,0.9991666666666666,214,312,720
3,0.9991666666666666,179,298,720
4,0.9997222222222222,209,331,720
5,0.9994444444444445,43,79,720
6,0.9991666666666666,349,423,720
7,0.9991666666666666,317,399,720
8,0.9988888888888889,51,91,720
9,0.9991666666666666,149,175,720
10,0.9991666666666666,211,251,720
11,0.9997222222222222,251,284,720
12,0.9997222222222222,143,204,720
13,0.9994444444444445,38,47,720
14,0.9994444444444445,185,207,720
15,0.9991666666666666,107,151,720
16,0.9991666666666666,264,316,720
17,0.9997222222222222,111,131,720
18,0.9997222222222222,226,344,720
19,0.9991666666666666,166,225,720
20,0.9991666666666666,250,296,720
21,0.9988888888888889,167,230,720
