,ynn,ynn_timeseries,red,sparsity
0,0.19999999999999996,1.0,6893,6893
1,0.19999999999999996,1.0,206,206
2,0.19999999999999996,1.0,241,241
3,0.3999999999999999,1.0,23653,23653
4,0.6,1.0,361,361
5,1.0,1.0,688,688
6,0.6,1.0,3457,3457
7,0.3999999999999999,1.0,291,291
8,0.3999999999999999,1.0,625,625
9,0.6,1.0,366,366
10,0.8,1.0,949,949
11,0.6,1.0,360,360
12,1.0,1.0,707,707
13,0.8,1.0,2101,2101
14,0.3999999999999999,1.0,300,300
15,0.19999999999999996,1.0,496,496
16,0.3999999999999999,1.0,4049,4049
17,0.3999999999999999,1.0,230,230
18,0.3999999999999999,1.0,2212,2212
19,0.3999999999999999,1.0,8036,8036
