,dataset,yNN_timeseries,yNN_timeseries_std
0,CBF,0.8400000000000002,0.07999999999999999
1,Coffee,0.8100000000000002,0.043588989435406726
2,ECG5000,0.8000000000000002,1.1102230246251565e-16
3,FordA,0.8500000000000002,0.08660254037844384
4,GunPoint,0.8900000000000002,0.09949874371066196
5,Heartbeat,0.8000000000000002,1.1102230246251565e-16
6,NATOPS,0.8200000000000001,0.059999999999999984
7,PenDigits,0.8300000000000001,0.07141428428542848
8,UWaveGestureLibrary,0.8000000000000002,1.1102230246251565e-16
9,ElectricDevices,0.8400000000000002,0.07999999999999999
